Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Kyrie Irving,20160318,CLE,0,CLE,109,ORL,103,39.7,9,17,0.529,2,3,0.667,6,6,1.0,0,1,1,5,0,0,5,1,26,7,.662,.588,.176,.353,0.0,2.9,1.6,22.3,0.0,0.0,20.3,27.9,114,117
LeBron James,20160318,CLE,0,CLE,109,ORL,103,35.73,6,15,0.4,0,3,0.0,6,6,1.0,1,6,7,8,1,1,4,3,18,-5,.510,.400,.200,.400,3.7,19.7,12.2,35.9,1.4,2.2,18.5,27.2,108,108
J.R. Smith,20160318,CLE,0,CLE,109,ORL,103,23.53,3,7,0.429,2,5,0.4,0,0,,0,0,0,2,0,0,1,2,8,-3,.571,.571,.714,.000,0.0,0.0,0.0,12.8,0.0,0.0,12.5,15.3,110,118
Kevin Love,20160318,CLE,0,CLE,109,ORL,103,23.08,5,10,0.5,3,5,0.6,1,2,0.5,1,5,6,2,0,0,3,3,14,-5,.643,.650,.500,.200,5.8,25.4,16.2,15.1,0.0,0.0,21.6,27.0,104,112
Timofey Mozgov,20160318,CLE,0,CLE,109,ORL,103,13.48,3,4,0.75,0,0,,1,2,0.5,2,2,4,0,0,0,1,2,7,-14,.717,.750,.000,.500,19.8,17.4,18.5,0.0,0.0,0.0,17.0,19.6,124,114
Tristan Thompson,20160318,CLE,0,CLE,109,ORL,103,27.7,3,6,0.5,0,0,,5,9,0.556,4,11,15,1,4,2,2,2,11,14,.552,.500,.000,1.500,19.3,46.5,33.8,5.3,7.3,5.8,16.7,19.4,113,85
Iman Shumpert,20160318,CLE,0,CLE,109,ORL,103,22.33,3,6,0.5,2,5,0.4,0,0,,1,2,3,2,1,0,1,1,8,12,.667,.667,.833,.000,6.0,10.5,8.4,13.6,2.3,0.0,14.3,14.1,126,110
Channing Frye,20160318,CLE,0,CLE,109,ORL,103,20.87,5,8,0.625,4,6,0.667,0,0,,0,1,1,2,0,1,0,3,14,9,.875,.875,.750,.000,0.0,5.6,3.0,17.4,0.0,3.8,0.0,17.2,174,113
Matthew Dellavedova,20160318,CLE,0,CLE,109,ORL,103,20.72,0,2,0.0,0,1,0.0,1,2,0.5,0,4,4,1,0,0,2,2,1,6,.174,.000,.500,1.000,0.0,22.6,12.0,6.1,0.0,0.0,41.0,10.6,35,112
Richard Jefferson,20160318,CLE,0,CLE,109,ORL,103,12.85,1,1,1.0,0,0,,0,0,,0,0,0,0,1,0,0,2,2,9,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.5,200,109
James Jones,20160318,CLE,0,CLE,109,ORL,103,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan McRae,20160318,CLE,0,CLE,109,ORL,103,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sasha Kaun,20160318,CLE,0,CLE,109,ORL,103,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
