Date,Name,FPTS,PTS,3P,AST,TRB,STL,BLK,TOV,DD,TD
20141030,Serge Ibaka,32.25,10.0,1.0,2.0,8.0,0.0,4.0,5.0,0.0,0.0
20141030,Andre Roberson,23.0,6.0,0.0,2.0,7.0,1.0,0.0,2.0,0.0,0.0
20141030,Lance Thomas,7.75,14.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
20141030,Steven Adams,18.5,8.0,0.0,2.0,7.0,2.0,0.0,4.0,0.0,0.0
20141030,Nick Collison,16.0,2.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0
20141030,Kendrick Perkins,11.5,4.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0
20141030,Ben Gordon,28.5,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
20141030,Evan Fournier,28.0,11.0,2.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0
20141030,Luke Ridnour,17.25,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
20141030,Elfrid Payton,13.25,4.0,0.0,7.0,5.0,1.0,0.0,2.0,0.0,0.0
20141030,Willie Green,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
20141030,Tobias Harris,20.0,25.0,1.0,0.0,8.0,1.0,0.0,4.0,0.0,0.0
20141030,Aaron Gordon,10.0,11.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0
20141030,Nikola Vucevic,45.0,15.0,0.0,1.0,23.0,1.0,4.0,1.0,1.0,0.0
20141030,Dewayne Dedmon,4.5,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0
20141030,Trey Burke,33.25,15.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0
20141030,Gordon Hayward,32.0,8.0,0.0,7.0,8.0,1.0,0.0,1.0,0.0,0.0
20141030,Alec Burks,23.75,18.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0
20141030,Dante Exum,1.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
20141030,Trevor Booker,16.25,14.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
20141030,Rodney Hood,5.5,5.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0
20141030,Derrick Favors,36.75,16.0,0.0,2.0,7.0,3.0,4.0,3.0,0.0,0.0
20141030,Enes Kanter,16.5,10.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
20141030,Rudy Gobert,15.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
20141030,John Wall,59.75,16.0,0.0,11.0,3.0,2.0,0.0,6.0,1.0,0.0
20141030,Garrett Temple,15.75,6.0,2.0,1.0,7.0,2.0,1.0,3.0,0.0,0.0
20141030,Andre Miller,6.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20141030,Paul Pierce,27.0,17.0,1.0,5.0,6.0,2.0,0.0,1.0,0.0,0.0
20141030,Otto Porter,12.25,13.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
20141030,Drew Gooden,9.25,18.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0
20141030,Kevin Seraphin,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141030,Marcin Gortat,37.0,18.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
20141030,Kris Humphries,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
20141031,Derrick Rose,31.0,13.0,0.0,5.0,3.0,2.0,0.0,3.0,0.0,0.0
20141031,Kirk Hinrich,29.0,12.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
