Date,Name,FPTS,PTS,3P,AST,TRB,STL,BLK,TOV,DD,TD
20171020,Kemba Walker,46.5,24.0,1.0,4.0,6.0,0.0,0.0,4.0,0.0,0.0
20171020,Malik Monk,9.25,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
20171020,Julyan Stone,3.5,6.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0
20171020,Jeremy Lamb,25.25,15.0,0.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0
20171020,Dwayne Bacon,21.75,8.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
20171020,Treveon Graham,12.0,5.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
20171020,Marvin Williams,8.75,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
20171020,Dwight Howard,39.25,10.0,0.0,1.0,15.0,1.0,2.0,3.0,1.0,0.0
20171020,Frank Kaminsky,35.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
20171020,Johnny O'Bryant,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020,Derrick Rose,19.5,14.0,1.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0
20171020,Dwyane Wade,11.5,8.0,0.0,3.0,2.0,0.0,2.0,4.0,0.0,0.0
20171020,Iman Shumpert,5.5,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0
20171020,Jose Calderon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020,LeBron James,44.75,29.0,1.0,9.0,16.0,0.0,2.0,4.0,1.0,0.0
20171020,Kyle Korver,26.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020,Jae Crowder,23.5,11.0,1.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0
20171020,Jeff Green,14.25,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20171020,J.R. Smith,14.5,10.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
