Date,Name,FPTS,PTS,3P,AST,TRB,STL,BLK,TOV,DD,TD
20181018,Goran Dragic,30.5,26.0,3.0,4.0,4.0,0.0,1.0,3.0,0.0,0.0
20181018,Dwyane Wade,27.5,9.0,0.0,2.0,11.0,0.0,0.0,4.0,0.0,0.0
20181018,Tyler Johnson,13.75,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20181018,Josh Richardson,46.0,21.0,2.0,3.0,5.0,1.0,1.0,3.0,0.0,0.0
20181018,Rodney McGruder,41.5,8.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0
20181018,Derrick Jones,25.75,5.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
20181018,Duncan Robinson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181018,Udonis Haslem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181018,Yante Maten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181018,Wayne Ellington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181018,Hassan Whiteside,22.5,12.0,0.0,0.0,18.0,1.0,2.0,1.0,1.0,0.0
20181018,Kelly Olynyk,18.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20181018,Bam Adebayo,13.75,9.0,0.0,2.0,8.0,1.0,0.0,1.0,0.0,0.0
20181018,Ben Simmons,54.75,19.0,0.0,8.0,15.0,4.0,2.0,3.0,1.0,0.0
20181018,Markelle Fultz,28.5,5.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0
20181018,Landry Shamet,26.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20181018,T.J. McConnell,8.5,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
20181018,Furkan Korkmaz,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181018,Demetrius Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181018,Shake Milton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20181018,Robert Covington,36.25,8.0,2.0,0.0,6.0,2.0,1.0,2.0,0.0,0.0
