Name,Pos,Date,Salary,Starter,Team,FPTS,Value,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,DD,TD,USG_perc,DRtg,ORtg,AST_perc,DRB_perc,ORB_perc,BLK_perc,TOV_perc,STL_perc,eFG_perc
Danny Green,SG/SF,20181123,4700.0,1,TOR,16.75,3.5638297872340425,1,TOR,125,WAS,107,24.7,3,7,0.429,3,7,0.429,0,0,0.0,1,2,3,2,0,0,1,4,9,0,0,13.4,113.0,125.0,9.7,7.6,4.5,0.0,12.5,0.0,0.643
C.J. Miles,SG/SF,20181123,3200.0,0,TOR,11.5,3.59375,1,TOR,125,WAS,107,18.23,3,10,0.3,1,7,0.14300000000000002,2,2,1.0,1,1,2,0,0,0,1,0,9,0,0,26.9,114.0,89.0,0.0,5.2,6.1,0.0,8.4,0.0,0.35
Serge Ibaka,PF/C,20181123,6200.0,0,TOR,35.25,5.685483870967742,1,TOR,125,WAS,107,26.88,5,9,0.556,1,2,0.5,1,2,0.5,3,6,9,2,1,4,3,5,12,0,0,19.8,96.0,106.0,9.6,21.0,12.5,13.2,23.3,1.8,0.611
Jonas Valanciunas,C,20181123,5200.0,1,TOR,19.75,3.798076923076923,1,TOR,125,WAS,107,18.23,3,7,0.429,0,0,0.0,2,2,1.0,4,3,7,3,0,0,3,2,8,0,0,24.6,109.0,105.0,20.7,15.5,24.5,0.0,27.6,0.0,0.429
Greg Monroe,C,20181123,3400.0,0,TOR,1.25,0.36764705882352944,1,TOR,125,WAS,107,2.88,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,14.3,102.0,0.0,0.0,32.6,0.0,0.0,0.0,0.0,0.0
Alec Burks,SG,20181123,3000.0,0,UTA,24.75,8.25,0,LAL,90,UTA,83,22.33,5,15,0.333,1,3,0.333,6,7,0.857,1,4,5,0,1,0,2,3,17,0,0,38.7,88.0,87.0,0.0,22.0,4.4,0.0,10.0,2.1,0.36700000000000005
Ricky Rubio,PG,20181123,6300.0,1,UTA,20.25,3.2142857142857144,0,LAL,90,UTA,83,25.07,3,12,0.25,0,4,0.0,1,1,1.0,0,1,1,5,2,1,3,3,7,0,0,26.5,84.0,58.0,35.1,4.9,0.0,3.4,19.4,3.7,0.25
Donovan Mitchell,PG/SG,20181123,7400.0,1,UTA,12.25,1.6554054054054053,0,LAL,90,UTA,83,11.55,2,9,0.222,0,4,0.0,0,0,0.0,0,3,3,1,2,0,2,1,4,0,0,41.0,74.0,40.0,16.8,32.0,0.0,0.0,18.2,8.1,0.222
Dante Exum,PG/SG,20181123,3300.0,0,UTA,8.5,2.5757575757575757,0,LAL,90,UTA,83,18.72,1,4,0.25,0,0,0.0,0,0,0.0,1,1,2,2,1,0,2,3,2,0,0,13.8,89.0,52.0,16.9,6.6,5.2,0.0,33.3,2.5,0.25
Grayson Allen,SG,20181123,3000.0,0,UTA,1.5,0.5,0,LAL,90,UTA,83,2.65,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,1,0,0,0,32.5,56.0,0.0,0.0,0.0,0.0,0.0,50.0,17.6,0.0
Raul Neto,PG,20181123,3000.0,0,UTA,0.0,0.0,0,LAL,90,UTA,83,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Ingles,SG/SF,20181123,5200.0,1,UTA,33.0,6.346153846153846,0,LAL,90,UTA,83,37.4,7,12,0.583,2,4,0.5,0,0,0.0,1,7,8,5,0,0,3,3,16,0,0,17.3,93.0,106.0,26.7,23.0,2.6,0.0,20.0,0.0,0.667
Jae Crowder,SF/PF,20181123,4400.0,0,UTA,17.75,4.034090909090909,0,LAL,90,UTA,83,27.77,2,12,0.16699999999999998,0,5,0.0,1,2,0.5,0,3,3,1,3,1,1,2,5,0,0,21.5,81.0,41.0,5.9,13.3,0.0,3.1,7.2,5.0,0.16699999999999998
Royce O'Neale,SF,20181123,3000.0,0,UTA,15.75,5.25,0,LAL,90,UTA,83,26.28,1,4,0.25,0,2,0.0,0,0,0.0,0,5,5,4,1,0,1,2,2,0,0,8.2,89.0,66.0,23.4,23.4,0.0,0.0,20.0,1.8,0.25
Thabo Sefolosha,SF/PF,20181123,3000.0,0,UTA,11.5,3.8333333333333335,0,LAL,90,UTA,83,10.85,2,2,1.0,1,1,1.0,2,2,1.0,0,4,4,0,0,0,2,1,7,0,0,19.4,90.0,112.0,0.0,45.4,0.0,0.0,41.0,0.0,1.25
Rudy Gobert,C,20181123,7500.0,1,UTA,24.75,3.3,0,LAL,90,UTA,83,33.73,5,7,0.7140000000000001,0,0,0.0,3,5,0.6,2,5,7,0,1,1,2,1,13,0,0,14.3,88.0,113.0,0.0,18.2,5.8,2.5,17.9,1.4,0.7140000000000001
Derrick Favors,PF/C,20181123,4700.0,1,UTA,19.75,4.202127659574468,0,LAL,90,UTA,83,23.65,5,7,0.7140000000000001,0,0,0.0,0,0,0.0,2,1,3,4,0,0,0,1,10,0,0,12.7,95.0,152.0,35.5,5.2,8.3,0.0,0.0,0.0,0.7140000000000001
Ekpe Udoh,C,20181123,3000.0,0,UTA,0.0,0.0,0,LAL,90,UTA,83,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bradley Beal,SG,20181123,7700.0,1,WAS,38.0,4.935064935064935,0,TOR,125,WAS,107,33.75,7,16,0.438,1,3,0.333,5,6,0.833,0,4,4,6,1,1,1,3,20,0,0,23.2,125.0,118.0,28.4,13.2,0.0,2.6,5.1,1.4,0.469
John Wall,PG,20181123,8700.0,1,WAS,35.75,4.109195402298851,0,TOR,125,WAS,107,32.0,5,13,0.385,1,7,0.14300000000000002,0,0,0.0,1,2,3,11,1,2,7,1,11,1,0,24.9,125.0,77.0,50.8,7.0,2.9,5.6,35.0,1.5,0.423
Tomas Satoransky,PG/SG,20181123,3400.0,0,WAS,18.75,5.514705882352941,0,TOR,125,WAS,107,24.25,3,7,0.429,1,4,0.25,2,2,1.0,1,0,1,3,1,1,1,1,9,0,0,14.6,127.0,118.0,17.4,0.0,3.9,3.7,11.3,2.0,0.5
Austin Rivers,PG/SG,20181123,3300.0,0,WAS,9.75,2.9545454545454546,0,TOR,125,WAS,107,16.0,2,7,0.28600000000000003,2,4,0.5,0,0,0.0,2,1,3,0,0,0,2,3,6,0,0,22.4,131.0,76.0,0.0,7.0,11.8,0.0,22.2,0.0,0.429
Otto Porter,SF/PF,20181123,5400.0,1,WAS,34.25,6.342592592592593,0,TOR,125,WAS,107,36.17,6,12,0.5,1,6,0.16699999999999998,4,4,1.0,1,6,7,4,1,0,0,2,17,0,0,15.2,125.0,140.0,16.6,18.5,2.6,0.0,0.0,1.3,0.542
Markieff Morris,SF/PF,20181123,4500.0,0,WAS,31.75,7.055555555555555,0,TOR,125,WAS,107,28.85,5,12,0.417,2,6,0.333,4,4,1.0,2,3,5,3,1,1,0,2,16,0,0,19.0,124.0,135.0,15.8,11.6,6.5,3.1,0.0,1.6,0.5
Kelly Oubre,SG/SF,20181123,4600.0,1,WAS,22.0,4.782608695652175,0,TOR,125,WAS,107,24.78,5,14,0.35700000000000004,0,6,0.0,3,3,1.0,1,5,6,1,0,0,0,4,13,0,0,24.7,126.0,99.0,6.4,22.5,3.8,0.0,0.0,0.0,0.35700000000000004
Jeff Green,SF/PF,20181123,4300.0,0,WAS,19.0,4.4186046511627906,0,TOR,125,WAS,107,23.4,4,12,0.333,0,5,0.0,0,0,0.0,2,4,6,0,2,0,1,0,8,0,0,22.2,118.0,73.0,0.0,19.1,8.0,0.0,7.7,4.1,0.33299999999999996
Thomas Bryant,C,20181123,3400.0,1,WAS,22.25,6.544117647058823,0,TOR,125,WAS,107,17.58,3,6,0.5,1,4,0.25,0,0,0.0,3,4,7,0,1,2,0,0,7,0,0,13.6,113.0,132.0,0.0,25.4,16.1,10.1,0.0,2.7,0.583
Ian Mahinmi,C,20181123,3200.0,0,WAS,0.0,0.0,0,TOR,125,WAS,107,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Smith,PF/C,20181123,3200.0,0,WAS,0.0,0.0,0,TOR,125,WAS,107,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Okaro White,SF/PF,20181123,0.0,0,WAS,2.5,0.0,0,TOR,125,WAS,107,3.22,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,12.4,123.0,59.0,0.0,34.7,29.3,0.0,0.0,0.0,0.0
Kyrie Irving,PG,20181124,8700.0,1,BOS,37.75,4.339080459770115,0,DAL,113,BOS,104,34.55,9,24,0.375,0,5,0.0,1,1,1.0,2,3,5,6,2,1,5,2,19,0,0,37.6,114.0,82.0,29.3,9.1,7.1,3.0,17.0,2.9,0.375
Marcus Smart,PG/SG,20181124,3700.0,0,BOS,26.5,7.162162162162161,0,DAL,113,BOS,104,25.18,5,8,0.625,3,4,0.75,6,6,1.0,1,1,2,2,1,0,3,3,19,0,0,23.9,119.0,143.0,12.1,4.1,4.9,0.0,22.0,2.0,0.813
Terry Rozier,PG/SG,20181124,4000.0,0,BOS,9.75,2.4375,0,DAL,113,BOS,104,17.28,1,6,0.16699999999999998,1,3,0.333,1,2,0.5,0,1,1,3,0,0,1,2,4,0,0,20.1,123.0,75.0,21.8,6.0,0.0,0.0,12.7,0.0,0.25
Brad Wanamaker,PG/SG,20181124,3000.0,0,BOS,0.0,0.0,0,DAL,113,BOS,104,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayson Tatum,SF/PF,20181124,6200.0,1,BOS,37.0,5.967741935483871,0,DAL,113,BOS,104,36.4,9,14,0.643,3,6,0.5,0,0,0.0,0,4,4,3,2,1,2,3,21,0,0,19.4,113.0,133.0,13.6,11.5,0.0,2.9,12.5,2.7,0.75
Jaylen Brown,SG/SF,20181124,4200.0,1,BOS,25.25,6.011904761904762,0,DAL,113,BOS,104,30.4,7,9,0.778,0,0,0.0,2,2,1.0,0,5,5,0,1,1,2,3,16,0,0,17.3,114.0,129.0,0.0,17.2,0.0,3.4,16.8,1.6,0.778
Marcus Morris,SF/PF,20181124,5300.0,1,BOS,24.75,4.669811320754717,0,DAL,113,BOS,104,29.63,6,10,0.6,1,3,0.333,0,0,0.0,1,4,5,2,1,0,0,4,13,0,0,14.9,116.0,141.0,10.4,14.1,4.2,0.0,0.0,1.7,0.65
Semi Ojeleye,PF,20181124,3000.0,0,BOS,5.25,1.75,0,DAL,113,BOS,104,18.55,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,0,0,0,0,0.0,122.0,225.0,6.3,11.3,6.6,0.0,0.0,0.0,0.0
Guerschon Yabusele,PF,20181124,3000.0,0,BOS,0.0,0.0,0,DAL,113,BOS,104,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,PF/C,20181124,5800.0,1,BOS,21.5,3.706896551724138,0,DAL,113,BOS,104,31.37,3,11,0.273,2,5,0.4,0,0,0.0,1,7,8,1,1,0,2,2,8,0,0,18.3,114.0,73.0,4.2,23.3,3.9,0.0,15.4,1.6,0.364
Aron Baynes,C,20181124,3300.0,0,BOS,15.75,4.772727272727273,0,DAL,113,BOS,104,16.63,1,4,0.25,0,2,0.0,2,2,1.0,3,6,9,1,0,0,2,2,4,0,0,18.3,112.0,89.0,7.6,37.6,22.2,0.0,29.1,0.0,0.25
Daniel Theis,PF/C,20181124,3000.0,0,BOS,0.0,0.0,0,DAL,113,BOS,104,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Williams,C,20181124,3000.0,0,BOS,0.0,0.0,0,DAL,113,BOS,104,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach LaVine,PG/SG,20181124,7800.0,1,CHI,42.0,5.384615384615385,0,MIN,111,CHI,96,37.93,9,17,0.529,0,3,0.0,10,12,0.833,1,7,8,4,0,0,4,1,28,0,0,30.9,113.0,112.0,24.6,16.1,2.9,0.0,15.2,0.0,0.529
Antonio Blakeney,PG,20181124,3200.0,0,CHI,11.5,3.59375,0,MIN,111,CHI,96,19.53,2,7,0.28600000000000003,2,4,0.5,2,4,0.5,0,2,2,0,0,0,0,1,8,0,0,20.0,117.0,90.0,0.0,8.9,0.0,0.0,0.0,0.0,0.429
Ryan Arcidiacono,PG,20181124,3700.0,1,CHI,8.25,2.22972972972973,0,MIN,111,CHI,96,33.7,0,5,0.0,0,4,0.0,0,0,0.0,0,1,1,4,1,0,2,3,0,0,0,9.3,118.0,30.0,17.8,2.6,0.0,0.0,28.6,1.4,0.0
Shaquille Harrison,PG,20181124,3600.0,0,CHI,7.75,2.1527777777777777,0,MIN,111,CHI,96,14.3,0,3,0.0,0,0,0.0,0,2,0.0,0,1,1,3,1,0,0,0,0,0,0,12.1,111.0,39.0,31.5,6.1,0.0,0.0,0.0,3.4,0.0
Cameron Payne,PG/SG,20181124,3100.0,0,CHI,1.5,0.48387096774193544,0,MIN,111,CHI,96,6.62,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,0,0,6.7,122.0,47.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0
Chandler Hutchison,SG,20181124,3100.0,0,CHI,0.0,0.0,0,MIN,111,CHI,96,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabari Parker,SF/PF,20181124,5900.0,1,CHI,45.75,7.7542372881355925,0,MIN,111,CHI,96,38.5,11,18,0.611,3,5,0.6,2,4,0.5,0,7,7,4,1,1,3,4,27,0,0,26.4,110.0,113.0,27.3,15.9,0.0,1.8,13.2,1.2,0.6940000000000001
Justin Holiday,SG/SF,20181124,4600.0,1,CHI,44.75,9.728260869565219,0,MIN,111,CHI,96,40.42,5,18,0.278,4,13,0.308,0,0,0.0,1,10,11,5,2,1,0,1,14,1,0,19.9,104.0,90.0,22.8,21.6,2.7,1.7,0.0,2.4,0.389
Robin Lopez,C,20181124,3000.0,0,CHI,15.0,5.0,0,MIN,111,CHI,96,16.35,2,3,0.667,1,1,1.0,2,2,1.0,1,1,2,0,1,2,2,3,7,0,0,16.0,109.0,111.0,0.0,5.3,6.7,8.5,34.0,2.9,0.833
Cristiano Felicio,C,20181124,3000.0,0,CHI,0.0,0.0,0,MIN,111,CHI,96,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collin Sexton,PG,20181124,5100.0,1,CLE,36.0,7.058823529411765,1,CLE,117,HOU,108,33.65,14,21,0.667,1,3,0.333,0,0,0.0,0,4,4,2,0,0,3,4,29,0,0,29.6,123.0,132.0,11.9,15.4,0.0,0.0,12.5,0.0,0.69
Jordan Clarkson,PG/SG,20181124,5200.0,0,CLE,33.25,6.394230769230769,1,CLE,117,HOU,108,27.9,8,16,0.5,0,2,0.0,4,4,1.0,5,0,5,4,1,0,2,1,20,0,0,29.4,122.0,133.0,22.8,0.0,20.0,0.0,10.1,1.9,0.5
Andrew Harrison,PG,20181124,3300.0,0,CLE,6.5,1.9696969696969697,1,CLE,117,HOU,108,14.35,2,4,0.5,0,1,0.0,0,0,0.0,0,0,0,2,0,0,1,2,4,0,0,14.4,126.0,106.0,17.9,0.0,0.0,0.0,20.0,0.0,0.5
George Hill,PG/SG,20181124,3800.0,0,CLE,0.0,0.0,1,CLE,117,HOU,108,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Nwaba,SG/SF,20181124,3700.0,1,CLE,22.5,6.081081081081081,1,CLE,117,HOU,108,38.45,5,16,0.313,0,5,0.0,2,4,0.5,3,1,4,0,2,1,1,4,12,0,0,20.2,117.0,92.0,0.0,3.4,8.7,3.6,5.3,2.7,0.313
Kyle Korver,SG/SF,20181124,3100.0,0,CLE,20.75,6.693548387096774,1,CLE,117,HOU,108,18.97,3,5,0.6,3,3,1.0,3,3,1.0,0,5,5,0,1,0,2,1,12,0,0,18.2,113.0,149.0,0.0,34.2,0.0,0.0,24.0,2.7,0.9
Cedi Osman,SF,20181124,4800.0,1,CLE,18.75,3.90625,1,CLE,117,HOU,108,23.42,1,6,0.16699999999999998,0,3,0.0,5,5,1.0,0,3,3,3,2,0,1,3,7,0,0,16.3,113.0,114.0,14.7,16.6,0.0,0.0,10.9,4.4,0.16699999999999998
Rodney Hood,SG/SF,20181124,4300.0,1,CLE,11.0,2.558139534883721,1,CLE,117,HOU,108,25.72,3,7,0.429,2,4,0.5,1,1,1.0,0,0,0,1,0,0,1,2,9,0,0,13.6,126.0,131.0,4.9,0.0,0.0,0.0,11.8,0.0,0.5710000000000001
Tristan Thompson,C,20181124,5500.0,1,CLE,53.0,9.636363636363637,1,CLE,117,HOU,108,39.15,6,12,0.5,0,0,0.0,4,8,0.5,9,11,20,2,4,0,1,3,16,1,0,17.5,107.0,132.0,6.7,36.5,25.7,0.0,6.1,5.3,0.5
Larry Nance,PF/C,20181124,5400.0,0,CLE,23.5,4.351851851851851,1,CLE,117,HOU,108,18.4,2,3,0.667,1,1,1.0,3,4,0.75,3,5,8,1,1,1,1,4,8,0,0,13.0,108.0,158.0,6.7,35.3,18.2,7.5,17.4,2.8,0.833
Ante Zizic,C,20181124,3200.0,0,CLE,0.0,0.0,1,CLE,117,HOU,108,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Channing Frye,PF/C,20181124,3000.0,0,CLE,0.0,0.0,1,CLE,117,HOU,108,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luka Doncic,PG,20181124,7200.0,1,DAL,35.0,4.861111111111111,1,DAL,113,BOS,104,30.87,5,11,0.455,3,4,0.75,2,2,1.0,0,0,0,8,3,1,3,0,15,0,0,20.6,104.0,122.0,36.3,0.0,0.0,2.7,20.2,4.8,0.591
Devin Harris,PG/SG,20181124,3400.0,0,DAL,20.0,5.882352941176471,1,DAL,113,BOS,104,17.08,3,8,0.375,2,6,0.333,1,2,0.5,0,4,4,1,2,0,1,4,9,0,0,24.7,98.0,98.0,8.4,28.8,0.0,0.0,10.1,5.8,0.5
Jalen Brunson,PG,20181124,3300.0,0,DAL,2.0,0.6060606060606061,1,DAL,113,BOS,104,8.6,1,1,1.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,2,2,0,0,7.2,117.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Harrison Barnes,SF/PF,20181124,5600.0,1,DAL,34.25,6.116071428571429,1,DAL,113,BOS,104,30.43,7,12,0.583,5,7,0.7140000000000001,1,1,1.0,0,3,3,3,1,1,1,2,20,0,0,18.9,109.0,150.0,15.3,12.1,0.0,2.7,7.4,1.6,0.792
Dorian Finney-Smith,SF,20181124,3800.0,1,DAL,23.0,6.052631578947369,1,DAL,113,BOS,104,29.88,4,11,0.364,0,5,0.0,1,3,0.333,5,3,8,1,2,0,3,4,9,0,0,21.9,107.0,82.0,4.5,12.4,17.5,0.0,19.6,3.3,0.364
Maxi Kleber,PF,20181124,3100.0,0,DAL,18.75,6.048387096774193,1,DAL,113,BOS,104,22.65,3,8,0.375,1,4,0.25,0,0,0.0,3,4,7,1,1,0,2,3,7,0,0,18.9,107.0,91.0,5.9,21.7,13.8,0.0,20.0,2.2,0.43799999999999994
Ryan Broekhoff,SG/SF,20181124,3000.0,0,DAL,0.0,0.0,1,DAL,113,BOS,104,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeAndre Jordan,C,20181124,7100.0,1,DAL,37.25,5.246478873239437,1,DAL,113,BOS,104,33.43,5,7,0.7140000000000001,0,0,0.0,4,7,0.5710000000000001,2,11,13,3,1,0,2,1,14,1,0,15.5,105.0,128.0,12.4,40.5,6.2,0.0,16.6,1.5,0.7140000000000001
Salah Mejri,C,20181124,3000.0,0,DAL,7.25,2.4166666666666665,1,DAL,113,BOS,104,7.8,1,1,1.0,0,0,0.0,0,0,0.0,2,1,3,1,0,0,0,0,2,0,0,5.5,114.0,219.0,17.2,15.8,26.8,0.0,0.0,0.0,1.0
Jamal Murray,PG/SG,20181124,6300.0,1,DEN,43.5,6.904761904761905,0,DEN,105,OKC,98,39.67,9,23,0.391,2,6,0.333,2,2,1.0,2,6,8,8,0,0,3,1,22,0,0,27.2,104.0,102.0,34.4,12.5,4.8,0.0,11.2,0.0,0.435
Monte Morris,PG,20181124,4200.0,0,DEN,19.5,4.642857142857142,0,DEN,105,OKC,98,20.28,1,5,0.2,0,0,0.0,2,2,1.0,0,2,2,6,2,0,0,1,4,0,0,11.6,96.0,117.0,38.8,8.2,0.0,0.0,0.0,4.7,0.2
Malik Beasley,SG,20181124,3100.0,0,DEN,9.25,2.9838709677419355,0,DEN,105,OKC,98,12.72,2,6,0.333,1,3,0.333,0,0,0.0,0,3,3,0,0,0,0,2,5,0,0,18.9,99.0,90.0,0.0,19.5,0.0,0.0,0.0,0.0,0.41700000000000004
DeVaughn Akoon-Purcell,PG,20181124,3000.0,0,DEN,0.0,0.0,0,DEN,105,OKC,98,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Harris,SG,20181124,5700.0,0,DEN,0.0,0.0,0,DEN,105,OKC,98,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Hernangomez,SF/PF,20181124,4700.0,1,DEN,32.0,6.808510638297872,0,DEN,105,OKC,98,35.27,4,12,0.333,3,7,0.429,4,4,1.0,1,7,8,0,2,1,1,2,15,0,0,16.8,94.0,113.0,0.0,16.4,2.7,2.1,6.8,2.7,0.45799999999999996
Torrey Craig,SG/SF,20181124,3000.0,1,DEN,27.0,9.0,0,DEN,105,OKC,98,36.07,4,8,0.5,0,2,0.0,0,1,0.0,6,4,10,1,1,2,2,2,8,0,0,11.6,101.0,99.0,4.0,9.2,16.0,4.2,19.2,1.3,0.5
Trey Lyles,SF/PF,20181124,3700.0,0,DEN,23.0,6.216216216216216,0,DEN,105,OKC,98,19.58,6,6,1.0,2,2,1.0,2,2,1.0,1,3,4,1,0,0,1,1,16,0,0,16.2,104.0,187.0,10.1,12.7,4.9,0.0,12.7,0.0,1.167
Tyler Lydon,PF,20181124,3000.0,0,DEN,0.0,0.0,0,DEN,105,OKC,98,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikola Jokic,C,20181124,8800.0,1,DEN,31.0,3.5227272727272725,0,DEN,105,OKC,98,27.18,6,20,0.3,0,7,0.0,4,5,0.8,2,4,6,5,0,1,4,4,16,0,0,38.7,102.0,79.0,31.1,12.2,7.1,2.8,15.3,0.0,0.3
Mason Plumlee,PF/C,20181124,3300.0,0,DEN,29.75,9.015151515151516,0,DEN,105,OKC,98,20.82,4,8,0.5,0,0,0.0,3,6,0.5,3,4,7,2,0,4,2,4,11,0,0,24.4,94.0,102.0,15.5,15.9,13.8,14.4,15.8,0.0,0.5
Paul Millsap,PF/C,20181124,6100.0,1,DEN,24.5,4.016393442622951,0,DEN,105,OKC,98,28.42,3,7,0.429,2,3,0.667,0,2,0.0,0,6,6,3,1,1,1,3,8,0,0,12.5,96.0,100.0,14.9,17.5,0.0,2.6,11.3,1.7,0.5710000000000001
Klay Thompson,SG,20181124,6700.0,1,GSW,38.0,5.671641791044776,1,GSW,117,SAC,116,36.28,12,26,0.462,5,12,0.417,2,2,1.0,1,3,4,0,0,0,1,2,31,0,0,32.1,120.0,112.0,0.0,7.2,2.9,0.0,3.6,0.0,0.5579999999999999
Quinn Cook,PG,20181124,4900.0,1,GSW,23.5,4.795918367346938,1,GSW,117,SAC,116,29.22,2,11,0.182,2,6,0.333,0,0,0.0,1,5,6,5,0,1,1,3,6,0,0,17.2,116.0,80.0,21.8,14.9,3.6,2.4,8.3,0.0,0.273
Shaun Livingston,PG,20181124,3000.0,0,GSW,10.5,3.5,1,GSW,117,SAC,116,16.12,2,5,0.4,0,0,0.0,0,0,0.0,0,0,0,3,0,1,0,0,4,0,0,13.0,120.0,109.0,25.5,0.0,0.0,4.3,0.0,0.0,0.4
Damion Lee,SG,20181124,3000.0,0,GSW,10.25,3.4166666666666665,1,GSW,117,SAC,116,16.45,1,3,0.333,1,3,0.333,2,2,1.0,0,3,3,1,0,0,1,1,5,0,0,12.4,117.0,112.0,7.7,15.9,0.0,0.0,20.5,0.0,0.5
Kevin Durant,SF/PF,20181124,10600.0,1,GSW,73.75,6.957547169811321,1,GSW,117,SAC,116,40.08,13,26,0.5,2,8,0.25,16,17,0.941,1,12,13,7,0,2,7,3,44,1,0,42.2,111.0,118.0,33.0,26.1,2.6,3.5,17.3,0.0,0.5379999999999999
Andre Iguodala,SG/SF,20181124,3500.0,1,GSW,21.25,6.071428571428571,1,GSW,117,SAC,116,31.97,0,2,0.0,0,2,0.0,1,2,0.5,2,5,7,4,2,1,1,3,1,0,0,5.1,110.0,95.0,14.6,13.7,6.5,2.2,25.8,3.0,0.0
Jonas Jerebko,SF/PF,20181124,4100.0,0,GSW,17.75,4.329268292682928,1,GSW,117,SAC,116,21.35,2,5,0.4,0,3,0.0,0,0,0.0,1,8,9,2,0,0,1,4,4,0,0,11.8,111.0,90.0,12.3,32.7,4.9,0.0,16.7,0.0,0.4
Jordan Bell,PF,20181124,3200.0,0,GSW,13.5,4.21875,1,GSW,117,SAC,116,13.38,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,2,2,1,0,1,2,0,0,3.1,101.0,214.0,19.2,6.5,7.8,5.2,0.0,7.1,1.0
Damian Jones,C,20181124,3300.0,1,GSW,21.5,6.515151515151516,1,GSW,117,SAC,116,21.3,5,6,0.833,0,0,0.0,3,4,0.75,3,3,6,1,0,0,1,3,13,0,0,17.2,118.0,155.0,7.6,12.3,14.7,0.0,11.4,0.0,0.833
