Name,Pos,Date,Salary,Starter,Team,FPTS,Value,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,DD,TD,USG_perc,DRtg,ORtg,AST_perc,DRB_perc,ORB_perc,BLK_perc,TOV_perc,STL_perc,eFG_perc
Kevin Durant,SF/PF,20181016,9000.0,1,GSW,48.5,5.388888888888889,1,GSW,108,OKC,100,37.72,9,21,0.429,0,5,0.0,9,10,0.9,1,7,8,6,1,1,3,4,27,0,0,29.2,98.0,116.0,25.0,15.6,2.8,2.4,10.6,1.2,0.429
Andre Iguodala,SG/SF,20181016,4000.0,0,GSW,7.5,1.875,1,GSW,108,OKC,100,10.38,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,0,2,0,0,7.5,102.0,139.0,24.7,16.2,0.0,0.0,0.0,0.0,0.5
Jonas Jerebko,SF/PF,20181016,3400.0,0,GSW,3.25,0.9558823529411765,1,GSW,108,OKC,100,6.17,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,2,0,0,0,6.3,87.0,0.0,0.0,41.0,0.0,0.0,100.0,0.0,0.0
Alfonzo McKinnie,SF/PF,20181016,3000.0,0,GSW,0.0,0.0,1,GSW,108,OKC,100,2.35,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16.5,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevon Looney,PF/C,20181016,3600.0,0,GSW,32.5,9.027777777777777,1,GSW,108,OKC,100,18.07,5,11,0.455,0,0,0.0,0,0,0.0,8,2,10,2,1,2,1,4,10,1,0,25.7,93.0,117.0,18.5,9.3,46.2,9.8,8.3,2.6,0.455
Draymond Green,PF/C,20181016,7300.0,1,GSW,28.75,3.9383561643835616,1,GSW,108,OKC,100,32.75,1,6,0.16699999999999998,0,1,0.0,0,0,0.0,1,12,13,5,3,0,6,3,2,0,0,14.2,85.0,42.0,18.1,30.9,3.2,0.0,50.0,4.3,0.16699999999999998
Damian Jones,C,20181016,3000.0,1,GSW,23.75,7.916666666666667,1,GSW,108,OKC,100,26.55,6,7,0.857,0,0,0.0,0,0,0.0,2,1,3,2,0,3,2,4,12,0,0,13.1,102.0,130.0,11.6,3.2,7.9,10.0,22.2,0.0,0.857
Jordan Bell,PF/C,20181016,4100.0,0,GSW,4.5,1.0975609756097562,1,GSW,108,OKC,100,6.65,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,1,0,0,0,0.0,96.0,220.0,0.0,12.7,15.7,13.4,0.0,0.0,0.0
Dennis Schroder,PG/SG,20181016,6300.0,1,OKC,47.5,7.5396825396825395,0,GSW,108,OKC,100,34.08,7,19,0.368,2,6,0.333,5,6,0.833,2,6,8,6,3,1,3,4,21,0,0,28.6,100.0,102.0,36.5,18.4,4.9,2.0,12.2,4.1,0.42100000000000004
Raymond Felton,PG/SG,20181016,3700.0,0,OKC,10.25,2.77027027027027,0,GSW,108,OKC,100,13.92,1,5,0.2,0,3,0.0,4,5,0.8,0,3,3,1,0,0,2,0,6,0,0,26.2,108.0,76.0,11.7,22.5,0.0,0.0,21.7,0.0,0.2
Paul George,SF/PF,20181016,8000.0,1,OKC,44.5,5.5625,0,GSW,108,OKC,100,37.4,9,23,0.391,4,12,0.333,5,8,0.625,0,2,2,5,4,0,5,3,27,0,0,33.4,104.0,93.0,29.9,5.6,0.0,0.0,15.9,5.0,0.478
Jerami Grant,SF/PF,20181016,4300.0,0,OKC,19.0,4.4186046511627906,0,GSW,108,OKC,100,29.12,2,7,0.28600000000000003,1,4,0.25,2,4,0.5,2,0,2,2,0,3,0,1,7,0,0,11.9,114.0,104.0,11.1,0.0,5.8,7.2,0.0,0.0,0.35700000000000004
Alex Abrines,SG/SF,20181016,3200.0,0,OKC,11.5,3.59375,0,GSW,108,OKC,100,23.47,3,8,0.375,2,6,0.333,0,0,0.0,0,2,2,0,0,0,0,2,8,0,0,13.5,114.0,104.0,0.0,8.9,0.0,0.0,0.0,0.0,0.5
Hamidou Diallo,SG/SF,20181016,3100.0,0,OKC,8.75,2.82258064516129,0,GSW,108,OKC,100,8.62,2,4,0.5,0,0,0.0,0,1,0.0,0,1,1,1,1,0,0,2,4,0,0,20.4,100.0,99.0,25.5,12.1,0.0,0.0,0.0,5.4,0.5
Terrance Ferguson,SG/SF,20181016,3300.0,1,OKC,6.0,1.8181818181818183,0,GSW,108,OKC,100,26.52,0,2,0.0,0,2,0.0,0,0,0.0,2,2,4,1,0,0,1,3,0,0,0,4.5,114.0,48.0,5.5,7.9,6.4,0.0,33.3,0.0,0.0
Deonte Burton,SF,20181016,3000.0,0,OKC,0.0,0.0,0,GSW,108,OKC,100,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdel Nader,PF,20181016,3000.0,0,OKC,0.0,0.0,0,GSW,108,OKC,100,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Adams,C,20181016,5800.0,1,OKC,41.25,7.112068965517242,0,GSW,108,OKC,100,35.6,6,12,0.5,0,0,0.0,5,8,0.625,4,7,11,4,2,0,2,3,17,1,0,19.5,103.0,114.0,21.7,20.5,9.5,0.0,11.4,2.6,0.5
Nerlens Noel,C,20181016,3600.0,0,OKC,17.25,4.791666666666667,0,GSW,108,OKC,100,12.4,1,2,0.5,0,0,0.0,1,2,0.5,3,4,7,1,1,1,0,3,3,0,0,9.2,92.0,142.0,13.3,33.7,20.4,5.6,0.0,3.8,0.5
Patrick Patterson,PF/C,20181016,3800.0,1,OKC,17.25,4.5394736842105265,0,GSW,108,OKC,100,18.88,2,9,0.222,1,4,0.25,2,3,0.667,3,2,5,0,1,1,1,0,7,0,0,23.7,105.0,80.0,0.0,11.1,13.4,3.7,8.8,2.5,0.278
Ben Simmons,PG/SF,20181016,8400.0,1,PHI,61.75,7.351190476190476,0,BOS,105,PHI,87,42.75,7,14,0.5,0,0,0.0,5,10,0.5,3,12,15,8,4,2,3,5,19,1,0,21.2,90.0,104.0,34.4,25.4,6.9,3.7,14.0,4.3,0.5
Markelle Fultz,PG/SG,20181016,5000.0,1,PHI,12.25,2.45,0,BOS,105,PHI,87,24.33,2,7,0.28600000000000003,0,0,0.0,1,2,0.5,0,3,3,2,1,0,3,1,5,0,0,19.0,103.0,52.0,13.1,11.2,0.0,0.0,27.6,1.9,0.28600000000000003
T.J. McConnell,PG/SG,20181016,3200.0,0,PHI,9.75,3.046875,0,BOS,105,PHI,87,22.43,2,5,0.4,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,3,4,0,0,9.5,109.0,97.0,21.6,4.0,0.0,0.0,0.0,0.0,0.4
Landry Shamet,PG/SG,20181016,3000.0,0,PHI,2.25,0.75,0,BOS,105,PHI,87,12.7,0,4,0.0,0,2,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,0,0,16.3,108.0,23.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0
Furkan Korkmaz,SG,20181016,3000.0,0,PHI,0.0,0.0,0,BOS,105,PHI,87,1.45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demetrius Jackson,PG,20181016,3000.0,0,PHI,0.0,0.0,0,BOS,105,PHI,87,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shake Milton,PG/SG,20181016,3000.0,0,PHI,0.0,0.0,0,BOS,105,PHI,87,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Covington,SF/PF,20181016,4700.0,1,PHI,21.5,4.574468085106383,0,BOS,105,PHI,87,34.2,3,10,0.3,2,7,0.28600000000000003,0,0,0.0,1,5,6,0,2,1,2,1,8,0,0,14.9,99.0,67.0,0.0,13.2,2.9,2.3,16.7,2.7,0.4
J.J. Redick,SG/SF,20181016,4900.0,0,PHI,21.0,4.285714285714286,0,BOS,105,PHI,87,29.77,7,17,0.412,2,8,0.25,0,0,0.0,0,2,2,1,0,0,0,1,16,0,0,24.2,109.0,92.0,7.1,6.1,0.0,0.0,0.0,0.0,0.47100000000000003
Dario Saric,SF/PF,20181016,5500.0,1,PHI,13.5,2.4545454545454546,0,BOS,105,PHI,87,22.92,3,8,0.375,0,4,0.0,0,0,0.0,0,6,6,1,0,0,3,5,6,0,0,20.4,103.0,55.0,7.6,23.7,0.0,0.0,27.3,0.0,0.375
Joel Embiid,C,20181016,8800.0,1,PHI,44.0,5.0,0,BOS,105,PHI,87,36.82,9,21,0.429,1,4,0.25,4,5,0.8,2,8,10,2,1,2,5,3,23,1,0,32.5,98.0,84.0,11.7,19.7,5.3,4.3,17.7,1.3,0.452
Amir Johnson,PF/C,20181016,3100.0,0,PHI,10.25,3.3064516129032255,0,BOS,105,PHI,87,11.18,1,1,1.0,0,0,0.0,3,4,0.75,0,3,3,1,0,0,0,1,5,0,0,10.5,103.0,193.0,14.4,24.3,0.0,0.0,0.0,0.0,1.0
Jonah Bolden,PF/C,20181016,3000.0,0,PHI,0.0,0.0,0,BOS,105,PHI,87,1.45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trae Young,PG,20181017,6500.0,1,ATL,27.5,4.230769230769231,0,NYK,126,ATL,107,33.13,5,14,0.35700000000000004,1,5,0.2,3,4,0.75,0,6,6,5,0,0,4,4,14,0,0,23.5,114.0,83.0,21.5,18.1,0.0,0.0,20.2,0.0,0.39299999999999996
Jeremy Lin,PG/SG,20181017,4000.0,0,ATL,16.75,4.1875,0,NYK,126,ATL,107,13.7,3,6,0.5,0,2,0.0,2,2,1.0,0,5,5,1,1,0,2,0,8,0,0,25.5,103.0,94.0,11.5,36.5,0.0,0.0,22.5,3.1,0.5
Tyler Dorsey,PG/SG,20181017,3700.0,0,ATL,9.75,2.635135135135135,0,NYK,126,ATL,107,14.6,3,8,0.375,0,2,0.0,0,0,0.0,0,3,3,0,0,0,0,2,6,0,0,21.6,114.0,76.0,0.0,20.5,0.0,0.0,0.0,0.0,0.375
Jaylen Adams,PG,20181017,3000.0,0,ATL,2.75,0.9166666666666666,0,NYK,126,ATL,107,4.28,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,0,0,9.2,113.0,52.0,27.3,23.3,0.0,0.0,0.0,0.0,0.0
Kent Bazemore,SG/SF,20181017,5700.0,1,ATL,27.5,4.824561403508771,0,NYK,126,ATL,107,30.27,6,12,0.5,2,6,0.333,0,0,0.0,2,4,6,0,2,1,2,3,14,0,0,18.2,107.0,102.0,0.0,13.2,7.4,2.4,14.3,2.8,0.583
Vince Carter,SG/SF,20181017,4000.0,1,ATL,14.5,3.625,0,NYK,126,ATL,107,23.97,4,9,0.444,2,6,0.333,2,2,1.0,0,2,2,0,0,0,2,5,12,0,0,19.5,116.0,99.0,0.0,8.3,0.0,0.0,16.8,0.0,0.556
Alex Poythress,SF/PF,20181017,3900.0,0,ATL,12.5,3.2051282051282053,0,NYK,126,ATL,107,20.72,4,8,0.5,1,3,0.333,0,1,0.0,1,1,2,0,1,0,3,4,9,0,0,21.7,112.0,77.0,0.0,4.8,5.4,0.0,26.2,2.0,0.563
Kevin Huerter,SG/SF,20181017,3000.0,0,ATL,3.75,1.25,0,NYK,126,ATL,107,4.58,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,8.6,109.0,60.0,0.0,43.6,24.4,0.0,0.0,0.0,0.0
Alex Len,C,20181017,5600.0,1,ATL,15.5,2.7678571428571432,0,NYK,126,ATL,107,21.43,3,6,0.5,0,2,0.0,1,2,0.5,2,2,4,2,0,1,3,4,7,0,0,18.1,113.0,86.0,13.1,9.3,10.4,3.4,30.4,0.0,0.5
Omari Spellman,PF/C,20181017,4300.0,0,ATL,15.25,3.546511627906977,0,NYK,126,ATL,107,8.32,3,4,0.75,1,2,0.5,0,0,0.0,1,2,3,0,1,1,0,1,7,0,0,18.9,95.0,169.0,0.0,24.0,13.4,8.7,0.0,5.1,0.875
Miles Plumlee,C,20181017,3800.0,0,ATL,7.0,1.842105263157895,0,NYK,126,ATL,107,9.37,2,2,1.0,0,0,0.0,3,3,1.0,0,0,0,0,0,0,0,2,7,0,0,14.0,118.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Spencer Dinwiddie,PG/SG,20181017,5600.0,0,BRK,37.0,6.607142857142858,0,DET,103,BRK,100,32.28,10,18,0.556,0,3,0.0,3,5,0.6,0,4,4,6,1,0,4,1,23,0,0,33.1,106.0,98.0,35.5,12.4,0.0,0.0,16.5,1.5,0.556
D'Angelo Russell,PG/SG,20181017,6600.0,1,BRK,19.5,2.9545454545454546,0,DET,103,BRK,100,24.97,3,9,0.333,1,4,0.25,1,2,0.5,0,2,2,5,1,0,2,1,8,0,0,21.0,107.0,82.0,28.1,8.0,0.0,0.0,16.8,1.9,0.389
Caris LeVert,SG/SF,20181017,5800.0,1,BRK,40.5,6.982758620689656,0,DET,103,BRK,100,33.98,10,18,0.556,0,2,0.0,7,8,0.875,1,3,4,4,1,1,3,2,27,0,0,31.9,106.0,114.0,21.8,8.8,3.8,2.1,12.2,1.4,0.556
Joe Harris,SG/SF,20181017,4600.0,1,BRK,29.5,6.41304347826087,0,DET,103,BRK,100,37.13,6,14,0.429,1,7,0.14300000000000002,0,0,0.0,0,6,6,5,1,0,2,2,13,0,0,19.0,105.0,89.0,20.0,16.2,0.0,0.0,12.5,1.3,0.46399999999999997
Jared Dudley,SF/PF,20181017,3200.0,1,BRK,15.25,4.765625,0,DET,103,BRK,100,35.85,0,5,0.0,0,4,0.0,1,2,0.5,2,1,3,3,3,0,0,5,1,0,0,7.2,104.0,64.0,10.0,2.8,7.2,0.0,0.0,4.0,0.0
Rodions Kurucs,SF,20181017,3200.0,0,BRK,5.75,1.796875,0,DET,103,BRK,100,10.62,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,1,2,3,0,0,12.5,110.0,94.0,12.7,9.4,0.0,0.0,33.3,0.0,0.75
Treveon Graham,SG/SF,20181017,3000.0,0,BRK,5.5,1.8333333333333333,0,DET,103,BRK,100,17.42,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,1,1,0,1,4,0,0,0,7.6,104.0,18.0,6.9,11.5,0.0,0.0,33.3,2.8,0.0
