Date,Team,Pos,Name,Starter,Salary
20151226,WAS,PG,John Wall,1,9600
20151226,CHA,PG,Kemba Walker,1,7000
20151226,HOU,SG,James Harden,1,10400
20151226,LAC,PG,Chris Paul,1,8700
20151226,MEM,PG,Mike Conley,1,6200
20151226,MIN,PG,Ricky Rubio,1,6800
20151226,NOR,SG,Tyreke Evans,1,7800
20151226,MIA,SG,Dwyane Wade,1,7000
20151226,NOR,SG,Eric Gordon,1,5000
20151226,BKN,PG,Jarrett Jack,1,6400
20151226,PHO,PG,Brandon Knight,1,7400
20151226,TOR,SG,DeMar DeRozan,1,7600
20151226,CHI,SG,Jimmy Butler,1,7500
20151226,DAL,PG,Jose Barea,1,4300
20151226,MIA,PG,Goran Dragic,1,5500
20151226,MIL,SG,Khris Middleton,1,6000
20151226,LAC,SG,J.J. Redick,1,5000
20151226,CHI,PG,Derrick Rose,1,6000
20151226,PHI,PG,Isaiah Canaan,1,4000
20151226,IND,SG,Monta Ellis,1,5600
20151226,POR,SG,Allen Crabbe,1,4600
20151226,TOR,PG,Kyle Lowry,1,8500
20151226,POR,SG,C.J. McCollum,1,7200
20151226,BOS,SG,Avery Bradley,1,5200
20151226,NYK,PG,Jose Calderon,1,3900
20151226,TOR,SG,Terrence Ross,0,4100
20151226,ORL,PG,Elfrid Payton,1,6300
20151226,PHI,SG,Nik Stauskas,0,3200
20151226,BOS,PG,Isaiah Thomas,1,7700
20151226,ATL,PG,Jeff Teague,1,6300
20151226,DEN,SG,Will Barton,0,7000
20151226,SAS,PG,Tony Parker,1,5300
20151226,ATL,PG,Dennis Schroder,0,5000
20151226,DAL,SG,Raymond Felton,1,5600
20151226,NYK,SG,Langston Galloway,0,3800
20151226,CHA,PG,Jeremy Lin,0,5300
20151226,PHI,PG,Ishmael Smith,1,4500
20151226,IND,SG,Rodney Stuckey,0,4300
20151226,MIN,SG,Andrew Wiggins,1,6500
20151226,MIL,PG,Michael Carter-Williams,1,6700
20151226,IND,PG,George Hill,1,5400
20151226,PHI,SG,Hollis Thompson,0,3500
20151226,DET,PG,Reggie Jackson,1,7500
