Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Marcus Morris,20141029,PHO,1,PHO,119,LAL,99,29.12,8,14,0.5710000000000001,5,9,0.556,0,0,,1,0,1,1,1,0,1,2,21,36,.750,.750,.643,.000,4.7,0.0,2.1,5.2,1.8,0.0,6.7,23.8,142,110
Goran Dragic,20141029,PHO,1,PHO,119,LAL,99,26.2,6,12,0.5,0,2,0.0,6,6,1.0,0,5,5,2,1,0,1,2,18,30,.615,.500,.167,.500,0.0,21.3,11.7,10.8,2.0,0.0,6.4,27.6,129,103
Eric Bledsoe,20141029,PHO,1,PHO,119,LAL,99,26.13,5,7,0.7140000000000001,3,4,0.75,3,3,1.0,1,5,6,9,0,0,1,2,16,30,.962,.929,.571,.429,5.2,21.4,14.1,46.2,0.0,0.0,10.7,16.5,191,107
Markieff Morris,20141029,PHO,1,PHO,119,LAL,99,25.87,5,10,0.5,1,4,0.25,1,1,1.0,1,2,3,2,1,0,0,3,12,31,.575,.550,.400,.100,5.3,8.6,7.1,10.4,2.0,0.0,0.0,18.6,134,107
Miles Plumlee,20141029,PHO,1,PHO,119,LAL,99,24.8,5,7,0.7140000000000001,0,0,,0,0,,2,4,6,0,1,1,0,5,10,2,.714,.714,.000,.000,11.1,18.0,14.9,0.0,2.1,2.7,0.0,13.0,154,101
Gerald Green,20141029,PHO,1,PHO,119,LAL,99,22.0,2,8,0.25,0,3,0.0,0,0,,0,1,1,2,1,0,3,2,4,-12,.250,.250,.375,.000,0.0,5.1,2.8,10.7,2.3,0.0,27.3,23.1,52,107
Isaiah Thomas,20141029,PHO,1,PHO,119,LAL,99,20.28,9,11,0.818,5,7,0.7140000000000001,0,2,0.0,0,1,1,3,0,0,2,1,23,-7,.968,1.045,.636,.182,0.0,5.5,3.0,30.0,0.0,0.0,14.4,31.6,153,112
Alex Len,20141029,PHO,1,PHO,119,LAL,99,18.7,1,4,0.25,0,0,,1,1,1.0,1,4,5,0,0,1,1,1,3,25,.338,.250,.000,.250,7.3,23.9,16.5,0.0,0.0,3.5,18.4,13.4,74,103
Shavlik Randolph,20141029,PHO,1,PHO,119,LAL,99,12.83,1,3,0.33299999999999996,0,1,0.0,1,3,0.33299999999999996,2,3,5,0,0,0,0,2,3,-2,.347,.333,.333,1.000,21.4,26.1,24.0,0.0,0.0,0.0,0.0,15.5,103,105
Tyler Ennis,20141029,PHO,1,PHO,119,LAL,99,12.5,1,2,0.5,0,0,,0,0,,0,0,0,3,0,1,3,1,2,-6,.500,.500,.000,.000,0.0,0.0,0.0,28.0,0.0,5.3,60.0,18.5,70,110
Anthony Tolliver,20141029,PHO,1,PHO,119,LAL,99,11.77,2,2,1.0,2,2,1.0,1,2,0.5,1,5,6,0,0,0,2,3,7,-14,1.215,1.500,1.000,1.000,11.7,47.4,31.4,0.0,0.0,0.0,41.0,19.2,116,98
Archie Goodwin,20141029,PHO,1,PHO,119,LAL,99,9.8,0,2,0.0,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-13,.000,.000,.000,.000,0.0,11.4,6.3,10.9,0.0,0.0,0.0,9.4,41,110
P.J. Tucker,20141029,PHO,1,PHO,119,LAL,99,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
