Date,Team,Pos,Name,Starter,Salary
20170311,OKC,PG,Russell Westbrook,1,12500
20170311,WAS,PG,John Wall,1,10100
20170311,CHA,PG,Kemba Walker,1,8100
20170311,LAC,PG,Chris Paul,1,8400
20170311,NOR,PG,Jrue Holiday,1,7300
20170311,POR,PG,Damian Lillard,1,8600
20170311,PHO,SG,Devin Booker,1,6400
20170311,POR,PG/SG,C.J. McCollum,1,7100
20170311,CLE,PG,Kyrie Irving,1,8900
20170311,GSW,PG/SG,Ian Clark,0,3000
20170311,WAS,SG,Bradley Beal,1,7500
20170311,ATL,PG,Dennis Schroder,1,6200
20170311,DET,PG,Reggie Jackson,1,5400
20170311,DEN,SG,Gary Harris,1,5600
20170311,MIL,PG/SF,Giannis Antetokounmpo,1,10100
20170311,OKC,SG,Victor Oladipo,1,5200
20170311,MIN,PG,Ricky Rubio,1,6800
20170311,ORL,PG,Elfrid Payton,1,7000
20170311,SAS,SG,Kyle Anderson,1,3300
20170311,UTA,PG/SG,Alec Burks,0,3600
20170311,MEM,PG,Mike Conley,1,7900
20170311,SAS,PG,Patty Mills,1,4000
20170311,NOR,SG,Jordan Crawford,0,3700
20170311,NYK,SG,Courtney Lee,1,4600
20170311,PHI,PG,T.J. McConnell,1,5200
20170311,SAC,SG,Buddy Hield,1,3800
20170311,SAC,PG/SF,Tyreke Evans,0,5400
20170311,CHA,SG,Jeremy Lamb,0,3300
20170311,SAS,SG,Manu Ginobili,0,3100
20170311,TOR,PG,Delon Wright,0,3000
20170311,TOR,SG,DeMar DeRozan,1,8400
20170311,PHO,PG/SG,Eric Bledsoe,1,8100
20170311,MIA,PG,Goran Dragic,1,7200
20170311,ORL,SG,Evan Fournier,1,5700
20170311,UTA,PG,Dante Exum,0,3300
20170311,CLE,PG/SG,Iman Shumpert,1,3200
20170311,MIA,PG,Tyler Johnson,0,5300
20170311,PHO,PG,Tyler Ulis,0,4800
20170311,DET,SG,Kentavious Caldwell-Pope,1,5900
20170311,DEN,PG/SG,Jamal Murray,0,4000
20170311,LAC,SG,J.J. Redick,1,4200
20170311,NYK,PG,Chasson Randle,0,3000
20170311,MIL,PG/SG,Matthew Dellavedova,1,3700
20170311,DAL,PG/SG,Devin Harris,0,3100
20170311,CLE,PG,Deron Williams,0,3900
20170311,ATL,PG,Jose Calderon,0,3000
20170311,PHI,SG,Nik Stauskas,0,3600
20170311,DAL,PG,Yogi Ferrell,1,5200
20170311,SAC,PG/SG,Darren Collison,1,5700
20170311,DEN,PG,Jameer Nelson,1,4600
20170311,MIL,SG,Rashad Vaughn,0,3000
20170311,DET,PG,Ishmael Smith,0,4700
20170311,SAC,PG,Ty Lawson,0,4900
20170311,PHI,PG,Sergio Rodriguez,0,3300
20170311,NYK,PG,Derrick Rose,1,6000
20170311,ATL,SG,Tim Hardaway Jr.,0,5300
20170311,LAC,PG/SG,Austin Rivers,0,3600
20170311,UTA,PG,George Hill,1,6300
20170311,CLE,SG,J.R. Smith,0,3500
20170311,SAS,SG,Danny Green,1,3800
20170311,UTA,PG,Raul Neto,0,3000
20170311,MEM,SG,Tony Allen,0,4400
20170311,MIN,PG,Kris Dunn,0,3000
20170311,LAC,SG,Jamal Crawford,0,4000
20170311,DAL,PG,Jose Barea,0,3300
20170311,MEM,PG,Andrew Harrison,0,3500
20170311,ORL,PG,C.J. Watson,0,3000
20170311,MIL,PG,Jason Terry,0,3000
20170311,LAC,PG/SF,Raymond Felton,0,3500
20170311,SAC,SG,Garrett Temple,0,3800
20170311,TOR,PG/SG,Cory Joseph,1,5200
20170311,TOR,PG,Fred VanVleet,0,3000
20170311,DAL,SG,Seth Curry,1,6800
20170311,MIN,SG,Brandon Rush,1,3000
20170311,GSW,PG,Shaun Livingston,1,3200
20170311,SAS,PG,Bryn Forbes,0,3000
20170311,UTA,SG,Rodney Hood,1,4800
20170311,ORL,PG/SG,D.J. Augustin,0,3000
20170311,WAS,PG,Brandon Jennings,0,3100
20170311,NOR,PG/SG,E'Twaun Moore,0,3500
20170311,OKC,SG,Alex Abrines,0,3000
20170311,PHO,PG/SG,Leandro Barbosa,0,3000
20170311,CHA,PG,Brian Roberts,0,3000
20170311,MIN,PG/SG,Tyus Jones,0,3000
20170311,DET,SG,Darrun Hilliard,0,3000
20170311,MEM,PG,Toney Douglas,0,3200
20170311,MEM,SG,Troy Daniels,0,3000
20170311,NOR,PG,Tim Frazier,0,3400
20170311,DET,SG,Reggie Bullock,0,3000
20170311,POR,PG,Shabazz Napier,0,3000
20170311,OKC,PG,Semaj Christon,0,3000
20170311,NYK,SG,Sasha Vujacic,0,3000
20170311,ORL,SG,C.J. Wilcox,0,3000
20170311,CLE,SG,DeAndre Liggins,0,3000
20170311,SAC,SG,Langston Galloway,0,3000
20170311,WAS,PG,Tomas Satoransky,0,3000
20170311,CLE,SG,James Jones,0,3000
20170311,PHO,PG,Ronnie Price,0,3000
20170311,SAS,PG,Dejounte Murray,0,3500
20170311,WAS,SG,Sheldon McClellan,0,3000
20170311,PHI,SG,Gerald Henderson,0,3500
20170311,MIL,PG/SG,Malcolm Brogdon,0,5000
20170311,OKC,PG,Norris Cole,0,3000
20170311,CHA,PG,Briante Weber,0,3000
20170311,DAL,SG,Nicolas Brussino,0,3000
20170311,WAS,PG,Trey Burke,0,3000
20170311,GSW,PG,Stephen Curry,0,9400
20170311,DEN,SG,Mike Miller,0,3000
20170311,TOR,PG,Kyle Lowry,0,7600
20170311,GSW,SG,Klay Thompson,0,6600
20170311,NOR,SG,Wayne Selden,0,3000
20170311,DEN,PG,Emmanuel Mudiay,0,3500
20170311,ATL,PG,Malcolm Delaney,0,3000
20170311,DET,PG,Beno Udrih,0,3000
20170311,PHO,SG,Brandon Knight,0,3000
20170311,LAC,SG,Alan Anderson,0,3000
20170311,SAS,PG,Tony Parker,0,4000
20170311,MEM,PG,Wade Baldwin,0,3000
20170311,SAC,SG,Malachi Richardson,0,3000
20170311,CLE,PG,Kay Felder,0,3000
20170311,DAL,SG,Jarrod Uthoff,0,3000
20170311,UTA,PG,Shelvin Mack,0,3700
20170311,MIN,SG,Zach LaVine,0,3000
20170311,PHI,PG,Ben Simmons,0,3000
20170311,PHI,PG,Jerryd Bayless,0,3000
20170311,CHA,PG,Ramon Sessions,0,3000
20170311,DEN,PG,Malik Beasley,0,3000
20170311,POR,PG,Tim Quarterman,0,3000
20170311,GSW,SG,Andre Iguodala,0,4700
20170311,ORL,SG,Jodie Meeks,0,3000
20170311,NYK,PG/SG,Ron Baker,0,3000
20170311,CLE,SF,LeBron James,1,11000
20170311,CHA,PF,Marvin Williams,1,5600
20170311,DET,SF/PF,Tobias Harris,1,5800
20170311,CHA,SG/SF,Nicolas Batum,1,7000
20170311,WAS,SF/PF,Otto Porter,1,6200
20170311,WAS,PF,Markieff Morris,1,6400
20170311,MEM,PF,JaMychal Green,1,4100
20170311,GSW,SF/PF,Matt Barnes,1,3300
20170311,DAL,SF/PF,Harrison Barnes,1,6400
20170311,MIA,SG/SF,Dion Waiters,1,6500
20170311,MIL,SG/SF,Tony Snell,1,3800
20170311,ATL,SF,Taurean Prince,0,3000
20170311,PHO,SF/PF,T.J. Warren,1,6000
20170311,POR,PF,Al-Farouq Aminu,0,5600
20170311,MIL,SF,Khris Middleton,1,6600
20170311,PHI,SF/PF,Robert Covington,1,6900
20170311,ORL,PF,Aaron Gordon,1,5900
20170311,DEN,SF,Danilo Gallinari,1,6000
20170311,PHI,PF,Dario Saric,1,7700
20170311,POR,SG/SF,Allen Crabbe,0,3900
20170311,NOR,SF/PF,Dante Cunningham,0,3000
20170311,POR,SF,Maurice Harkless,1,5400
20170311,CHA,SF,Michael Kidd-Gilchrist,1,5000
20170311,SAS,SF/PF,Davis Bertans,0,3000
20170311,NOR,SF,Solomon Hill,1,3000
20170311,PHO,PF,Marquese Chriss,1,4900
20170311,GSW,PF,James Michael McAdoo,0,3000
20170311,OKC,PF,Taj Gibson,1,3800
20170311,GSW,PF,David West,0,3000
20170311,UTA,PF,Trey Lyles,0,3000
20170311,NYK,SF/PF,Carmelo Anthony,1,7300
20170311,DAL,SG/SF,Wes Matthews,1,5300
20170311,MIN,PF,Nemanja Bjelica,0,3800
20170311,ORL,SF,Terrence Ross,1,5200
20170311,DET,SG/SF,Stanley Johnson,0,3000
20170311,PHI,SF,Timothe Luwawu,1,3000
20170311,DET,SF/PF,Marcus Morris,1,6300
20170311,ATL,SG/SF,Kent Bazemore,1,4100
20170311,MIN,SF,Andrew Wiggins,1,7400
20170311,OKC,SF,Andre Roberson,1,3500
20170311,MIA,SF,Wayne Ellington,0,3700
20170311,ATL,SG/SF,Thabo Sefolosha,1,4000
20170311,MEM,SF/PF,Chandler Parsons,1,3400
20170311,MIA,PF,Luke Babbitt,1,3000
20170311,TOR,PF,Pascal Siakam,0,3000
20170311,MEM,SG/SF,Vince Carter,0,3400
20170311,DET,PF,Jon Leuer,0,4600
20170311,TOR,SG/SF,Norman Powell,1,4300
20170311,UTA,SG/SF,Joe Ingles,0,4200
20170311,ATL,PF,Kris Humphries,1,3000
20170311,DAL,SF,Dorian Finney-Smith,0,3000
20170311,UTA,SF,Gordon Hayward,1,7500
20170311,WAS,SG/SF,Bojan Bogdanovic,0,5000
20170311,MEM,SF,James Ennis,1,3100
20170311,CHA,SG/SF,Marco Belinelli,0,3300
20170311,SAS,SG/SF,Jonathon Simmons,0,3900
20170311,SAC,PF,Skal Labissiere,0,3500
20170311,ORL,SF/PF,Jeff Green,0,3400
20170311,DEN,SF/PF,Wilson Chandler,1,7100
20170311,MIA,SG/SF,Josh Richardson,0,4000
20170311,SAC,SF,Arron Afflalo,1,3300
20170311,PHO,SF,Derrick Jones,1,3000
20170311,CLE,SF/PF,Richard Jefferson,1,3000
20170311,UTA,PF,Joel Bolomboy,0,3000
20170311,NOR,SG/SF,Hollis Thompson,1,3000
20170311,PHI,SG/SF,Justin Anderson,0,4100
20170311,PHO,SF/PF,Jared Dudley,0,3000
20170311,TOR,PF,Patrick Patterson,0,3000
20170311,CLE,SF,Derrick Williams,0,3800
20170311,ORL,SF,Mario Hezonja,0,3000
20170311,MIA,SG/SF,Rodney McGruder,1,3100
20170311,GSW,PF,Kevon Looney,1,3000
20170311,UTA,SF,Joe Johnson,1,3500
20170311,CHA,PF,Christian Wood,0,3000
20170311,DEN,PF,Darrell Arthur,0,3000
20170311,DEN,SG/SF,Will Barton,0,4900
20170311,DEN,PF,Juan Hernangomez,0,3900
20170311,GSW,SF,Patrick McCaw,1,3300
20170311,MIN,SG/SF,Shabazz Muhammad,0,3900
20170311,SAS,PF,Joel Anthony,0,3000
20170311,NYK,SG/SF,Justin Holiday,0,3200
20170311,SAC,PF,Anthony Tolliver,0,3200
20170311,NYK,SF,Mindaugas Kuzminskas,0,3000
20170311,DAL,PF,Dwight Powell,0,3000
20170311,ATL,PF,Mike Muscala,0,3000
20170311,NYK,PF,Lance Thomas,0,3900
20170311,TOR,SF/PF,P.J. Tucker,0,4000
20170311,LAC,SF,Wesley Johnson,0,3000
20170311,OKC,SF/PF,Jerami Grant,0,3000
20170311,LAC,SF/PF,Luc Mbah a Moute,1,3000
20170311,ATL,SF,Ryan Kelly,0,3000
20170311,ATL,SF,DeAndre Bembry,0,3000
20170311,WAS,SG/SF,Kelly Oubre,0,3000
20170311,ORL,PF,Damjan Rudez,0,3000
20170311,OKC,SG/SF,Doug McDermott,0,3100
20170311,SAC,SF,Ben McLemore,0,3000
20170311,POR,PF,Jake Layman,0,3000
20170311,MIN,SF,Lance Stephenson,0,3000
20170311,MIA,PF,Josh McRoberts,0,3000
20170311,MIA,PF,Okaro White,0,3000
20170311,TOR,PF,Lucas Nogueira,0,3000
